[0.000s] Experiment Started
[5.083s] Block 1 Started
[613.136s] Block 3 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[615.169s] Block 3 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[618.178s] Block 3 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[620.211s] Block 3 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[623.228s] Block 3 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[625.261s] Block 3 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[628.270s] Block 3 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[630.303s] Block 3 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[633.319s] Block 3 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[635.353s] Block 3 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[638.361s] Block 3 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[640.395s] Block 3 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[643.411s] Block 3 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[645.437s] Block 3 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[648.437s] Block 3 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[650.470s] Block 3 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[653.486s] Block 3 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[655.496s] Block 3 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[658.512s] Block 3 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[660.545s] Block 3 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[663.554s] Block 3 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[665.571s] Block 3 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[668.587s] Block 3 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[670.620s] Block 3 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[673.630s] Block 3 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[675.663s] Block 3 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[678.680s] Block 3 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[680.713s] Block 3 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[683.722s] Block 3 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[685.755s] Block 3 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[688.772s] Block 3 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[690.805s] Block 3 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[693.814s] Block 3 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[695.847s] Block 3 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[698.863s] Block 3 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[700.889s] Block 3 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[703.905s] Block 3 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[705.939s] Block 3 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[708.955s] Block 3 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[710.964s] Block 3 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[713.981s] Block 3 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[716.014s] Block 3 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[719.023s] Block 3 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[721.039s] Block 3 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[724.056s] Block 3 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[726.089s] Block 3 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[729.098s] Block 3 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[730.114s] Block 3 Ended
[790.116s] Block 4 Started
[791.133s] Block 4 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[794.142s] Block 4 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[796.175s] Block 4 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[799.191s] Block 4 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[801.225s] Block 4 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[804.233s] Block 4 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[806.267s] Block 4 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[809.283s] Block 4 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[811.309s] Block 4 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[814.309s] Block 4 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[816.342s] Block 4 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[819.358s] Block 4 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[821.368s] Block 4 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[824.384s] Block 4 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[826.417s] Block 4 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[829.426s] Block 4 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[831.443s] Block 4 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[834.460s] Block 4 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[836.493s] Block 4 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[839.502s] Block 4 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[841.535s] Block 4 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[844.552s] Block 4 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[846.585s] Block 4 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[849.594s] Block 4 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[851.627s] Block 4 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[854.644s] Block 4 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[856.677s] Block 4 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[859.686s] Block 4 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[861.719s] Block 4 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[864.735s] Block 4 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[866.761s] Block 4 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[869.761s] Block 4 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[871.794s] Block 4 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[874.811s] Block 4 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[876.819s] Block 4 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[879.836s] Block 4 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[881.869s] Block 4 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[884.878s] Block 4 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[886.895s] Block 4 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[889.911s] Block 4 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[891.944s] Block 4 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[894.953s] Block 4 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[896.986s] Block 4 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[900.003s] Block 4 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[902.036s] Block 4 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[905.045s] Block 4 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[907.078s] Block 4 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[910.095s] Block 4 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[912.128s] Block 4 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[915.137s] Block 4 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[917.170s] Block 4 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[920.187s] Block 4 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[922.213s] Block 4 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[925.230s] Block 4 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[927.263s] Block 4 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[930.279s] Block 4 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[932.288s] Block 4 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[935.305s] Block 4 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[937.338s] Block 4 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[940.347s] Block 4 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[942.363s] Block 4 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[945.380s] Block 4 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[947.413s] Block 4 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[950.422s] Block 4 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[952.455s] Block 4 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[955.472s] Block 4 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[957.505s] Block 4 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[960.514s] Block 4 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[962.547s] Block 4 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[965.564s] Block 4 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[967.597s] Block 4 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[970.606s] Block 4 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[972.639s] Block 4 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[975.655s] Block 4 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[977.682s] Block 4 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[980.697s] Block 4 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[982.731s] Block 4 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[985.747s] Block 4 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[987.757s] Block 4 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[990.773s] Block 4 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[991.789s] Block 4 Ended
[991.806s] Experiment Ended
