[0.000s] Experiment Started
[5.223s] Block 1 Started
[358.968s] Block 2 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[361.984s] Block 2 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[364.001s] Block 2 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[367.017s] Block 2 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[369.034s] Block 2 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[372.050s] Block 2 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[374.083s] Block 2 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[377.100s] Block 2 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[379.133s] Block 2 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[382.149s] Block 2 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[384.183s] Block 2 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[387.199s] Block 2 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[389.216s] Block 2 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[392.232s] Block 2 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[394.265s] Block 2 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[397.282s] Block 2 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[399.315s] Block 2 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[402.332s] Block 2 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[404.365s] Block 2 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[407.381s] Block 2 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[409.414s] Block 2 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[412.431s] Block 2 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[414.464s] Block 2 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[417.481s] Block 2 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[419.514s] Block 2 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[422.530s] Block 2 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[424.563s] Block 2 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[427.580s] Block 2 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[429.613s] Block 2 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[432.630s] Block 2 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[434.663s] Block 2 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[437.679s] Block 2 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[439.713s] Block 2 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[442.729s] Block 2 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[444.762s] Block 2 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[447.779s] Block 2 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[449.795s] Block 2 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[452.812s] Block 2 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[454.845s] Block 2 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[457.861s] Block 2 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[459.895s] Block 2 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[462.911s] Block 2 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[464.927s] Block 2 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[467.944s] Block 2 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[468.961s] Block 2 Ended
[528.973s] Block 3 Started
[529.990s] Block 3 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[533.007s] Block 3 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[535.023s] Block 3 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[538.040s] Block 3 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[540.056s] Block 3 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[543.073s] Block 3 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[545.089s] Block 3 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[548.106s] Block 3 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[550.139s] Block 3 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
